id,title,slug,content,excerpt,author_id,category_id,status,is_featured,views_count,published_at,created_at
20000000-0000-0000-0000-000000000001,O dilema do homem moderno,dilema-homem-moderno,"{""blocks"":[]}",Reflexão ácida sobre masculinidade em crise.,,10000000-0000-0000-0000-000000000001,published,true,42,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000002,"Batom, sarcasmo e poder",batom-sarcasmo-poder,"{""blocks"":[]}",Feminilidade sem clichês e com veneno.,,10000000-0000-0000-0000-000000000002,published,false,37,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000003,A maturidade não pede licença,maturidade-nao-pede-licenca,"{""blocks"":[]}",Envelhecer rindo das próprias dores.,,10000000-0000-0000-0000-000000000003,published,false,29,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000004,O multiverso é canônico?,multiverso-canonico,"{""blocks"":[]}",Discussão nerd com humor referência-level.,,10000000-0000-0000-0000-000000000004,published,false,51,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000005,"Pitch real, café ruim",pitch-real-cafe-ruim,"{""blocks"":[]}",Startups sem palco e sem buzzword.,,10000000-0000-0000-0000-000000000005,published,false,33,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000006,O shape não veio no Pix,shape-nao-veio-pix,"{""blocks"":[]}",Fitness ácido e motivador.,,10000000-0000-0000-0000-000000000006,published,false,27,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000007,Traumas financeiros e planilhas,traumas-financeiros-planilhas,"{""blocks"":[]}",Dinheiro explicado sem enrolação.,,10000000-0000-0000-0000-000000000007,published,false,39,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000008,Atualize ou morra tentando,atualize-ou-morra,"{""blocks"":[]}",A febre das atualizações eternas.,,10000000-0000-0000-0000-000000000008,published,false,44,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000009,"Amor, caos e lençóis bagunçados",amor-caos-lencois,"{""blocks"":[]}","Relacionamentos reais, ácidos e familiares.",,10000000-0000-0000-0000-000000000009,published,false,41,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00
20000000-0000-0000-0000-000000000010,"Glória, grana e gritaria",gloria-grana-gritaria,"{""blocks"":[]}",O esporte como teatro épico.,,10000000-0000-0000-0000-000000000010,published,false,36,2025-07-25 17:46:30.199976+00,2025-07-25 17:46:30.199976+00